scenario,n_port,lam_nm,eta_atm,eta_tel,eta_fore,eta_inj,eta_internal,qe,eta_sys
3-port,3,917.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,918.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,919.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,920.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,921.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,922.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,923.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,924.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,925.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,926.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,927.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,928.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,929.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,930.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,931.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,932.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,933.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,934.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,935.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,936.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,937.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,938.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,939.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,940.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,941.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,942.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,943.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,944.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,945.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
3-port,3,946.0,0.85,0.81,0.8,0.6,0.6446966603506211,0.9,0.19175341708140597
