scenario,n_port,lam_nm,mm_mode_count,eta_match,eta_ad,eta_internal
3-port,3,881.0,3.488322654706948,0.75,0.9048374180359596,0.6446966603506211
3-port,3,882.0,3.480417110154719,0.75,0.9048374180359596,0.6446966603506211
3-port,3,883.0,3.4725384095453435,0.75,0.9048374180359596,0.6446966603506211
3-port,3,884.0,3.4646864314817467,0.75,0.9048374180359596,0.6446966603506211
3-port,3,885.0,3.4568610552523227,0.75,0.9048374180359596,0.6446966603506211
3-port,3,886.0,3.4490621608262977,0.75,0.9048374180359596,0.6446966603506211
3-port,3,887.0,3.4412896288491277,0.75,0.9048374180359596,0.6446966603506211
3-port,3,888.0,3.4335433406379354,0.75,0.9048374180359596,0.6446966603506211
3-port,3,889.0,3.425823178176968,0.75,0.9048374180359596,0.6446966603506211
3-port,3,890.0,3.418129024113117,0.75,0.9048374180359596,0.6446966603506211
3-port,3,891.0,3.4104607617514464,0.75,0.9048374180359596,0.6446966603506211
3-port,3,892.0,3.402818275050776,0.75,0.9048374180359596,0.6446966603506211
3-port,3,893.0,3.395201448619284,0.75,0.9048374180359596,0.6446966603506211
3-port,3,894.0,3.3876101677101635,0.75,0.9048374180359596,0.6446966603506211
3-port,3,895.0,3.380044318217285,0.75,0.9048374180359596,0.6446966603506211
3-port,3,896.0,3.372503786670919,0.75,0.9048374180359596,0.6446966603506211
3-port,3,897.0,3.364988460233481,0.75,0.9048374180359596,0.6446966603506211
3-port,3,898.0,3.357498226695305,0.75,0.9048374180359596,0.6446966603506211
3-port,3,899.0,3.3500329744704596,0.75,0.9048374180359596,0.6446966603506211
3-port,3,900.0,3.3425925925925926,0.75,0.9048374180359596,0.6446966603506211
3-port,3,901.0,3.335176970710802,0.75,0.9048374180359596,0.6446966603506211
3-port,3,902.0,3.32778599908555,0.75,0.9048374180359596,0.6446966603506211
3-port,3,903.0,3.320419568584599,0.75,0.9048374180359596,0.6446966603506211
3-port,3,904.0,3.3130775706789883,0.75,0.9048374180359596,0.6446966603506211
3-port,3,905.0,3.305759897439028,0.75,0.9048374180359596,0.6446966603506211
3-port,3,906.0,3.2984664415303424,0.75,0.9048374180359596,0.6446966603506211
3-port,3,907.0,3.2911970962099275,0.75,0.9048374180359596,0.6446966603506211
3-port,3,908.0,3.2839517553222457,0.75,0.9048374180359596,0.6446966603506211
3-port,3,909.0,3.2767303132953556,0.75,0.9048374180359596,0.6446966603506211
3-port,3,910.0,3.269532665137061,0.75,0.9048374180359596,0.6446966603506211
3-port,3,911.0,3.262358706431094,0.75,0.9048374180359596,0.6446966603506211
3-port,3,912.0,3.255208333333334,0.75,0.9048374180359596,0.6446966603506211
3-port,3,913.0,3.2480814425680418,0.75,0.9048374180359596,0.6446966603506211
3-port,3,914.0,3.2409779314241396,0.75,0.9048374180359596,0.6446966603506211
3-port,3,915.0,3.233897697751501,0.75,0.9048374180359596,0.6446966603506211
3-port,3,916.0,3.2268406399572855,0.75,0.9048374180359596,0.6446966603506211
3-port,3,917.0,3.219806657002291,0.75,0.9048374180359596,0.6446966603506211
3-port,3,918.0,3.21279564839734,0.75,0.9048374180359596,0.6446966603506211
3-port,3,919.0,3.2058075141996856,0.75,0.9048374180359596,0.6446966603506211
3-port,3,920.0,3.1988421550094515,0.75,0.9048374180359596,0.6446966603506211
3-port,3,921.0,3.1918994719661042,0.75,0.9048374180359596,0.6446966603506211
3-port,3,922.0,3.1849793667449333,0.75,0.9048374180359596,0.6446966603506211
3-port,3,923.0,3.178081741553581,0.75,0.9048374180359596,0.6446966603506211
3-port,3,924.0,3.1712064991285778,0.75,0.9048374180359596,0.6446966603506211
3-port,3,925.0,3.164353542731921,0.75,0.9048374180359596,0.6446966603506211
3-port,3,926.0,3.15752277614767,0.75,0.9048374180359596,0.6446966603506211
3-port,3,927.0,3.150714103678567,0.75,0.9048374180359596,0.6446966603506211
